Class,Image1,Image2,Loss1,Loss2,Max Interpolated Loss,Abs_Loss_Diff
0,ILSVRC2012_val_00046252_n01440764.JPEG,ILSVRC2012_val_00030740_n01440764.JPEG,0.0311379171907901,0.0398333854973316,2.456169366836548,0.008695468306541498
0,ILSVRC2012_val_00037596_n01440764.JPEG,ILSVRC2012_val_00031333_n01440764.JPEG,0.0664957836270332,0.0108312554657459,0.0761048346757888,0.05566452816128731
0,ILSVRC2012_val_00002138_n01440764.JPEG,ILSVRC2012_val_00017995_n01440764.JPEG,0.1365653276443481,0.0412202440202236,3.3649771213531494,0.0953450836241245
0,ILSVRC2012_val_00024235_n01440764.JPEG,ILSVRC2012_val_00009379_n01440764.JPEG,0.1788088977336883,0.3673603236675262,0.4199585616588592,0.1885514259338379
0,ILSVRC2012_val_00025129_n01440764.JPEG,ILSVRC2012_val_00017700_n01440764.JPEG,0.4224522113800049,0.0684623122215271,0.4337296485900879,0.3539898991584778
1,ILSVRC2012_val_00010363_n01443537.JPEG,ILSVRC2012_val_00044095_n01443537.JPEG,0.0024892080109566,0.1939470916986465,0.2031811028718948,0.1914578836876899
1,ILSVRC2012_val_00032675_n01443537.JPEG,ILSVRC2012_val_00003150_n01443537.JPEG,0.0198717936873435,0.5879898071289062,0.5879898071289062,0.5681180134415628
1,ILSVRC2012_val_00038057_n01443537.JPEG,ILSVRC2012_val_00031138_n01443537.JPEG,1.2777113914489746,0.007778828497976,1.35327410697937,1.2699325629509985
1,ILSVRC2012_val_00004677_n01443537.JPEG,ILSVRC2012_val_00034386_n01443537.JPEG,2.550767660140991,0.0123502733185887,2.550767660140991,2.5384173868224025
1,ILSVRC2012_val_00030060_n01443537.JPEG,ILSVRC2012_val_00011914_n01443537.JPEG,2.742976427078247,0.1401626914739608,2.8057727813720703,2.602813735604286
2,ILSVRC2012_val_00040710_n01484850.JPEG,ILSVRC2012_val_00004311_n01484850.JPEG,0.0459014251828193,0.3947088420391083,3.02021598815918,0.34880741685628897
2,ILSVRC2012_val_00034950_n01484850.JPEG,ILSVRC2012_val_00044896_n01484850.JPEG,0.1222455874085426,0.6307732462882996,0.7920207977294922,0.5085276588797569
2,ILSVRC2012_val_00023185_n01484850.JPEG,ILSVRC2012_val_00019409_n01484850.JPEG,1.353819727897644,0.4247068762779236,2.028162956237793,0.9291128516197205
2,ILSVRC2012_val_00040098_n01484850.JPEG,ILSVRC2012_val_00046171_n01484850.JPEG,2.2534570693969727,0.3691392242908478,2.579914331436157,1.8843178451061249
2,ILSVRC2012_val_00044052_n01484850.JPEG,ILSVRC2012_val_00039534_n01484850.JPEG,2.0423407554626465,0.1560127735137939,2.396240711212158,1.8863279819488525
3,ILSVRC2012_val_00031071_n01491361.JPEG,ILSVRC2012_val_00029568_n01491361.JPEG,0.4033195972442627,0.4294762015342712,0.9463080167770386,0.02615660429000849
3,ILSVRC2012_val_00025969_n01491361.JPEG,ILSVRC2012_val_00002922_n01491361.JPEG,0.5119196176528931,0.2015129327774047,0.8984361290931702,0.3104066848754884
3,ILSVRC2012_val_00028564_n01491361.JPEG,ILSVRC2012_val_00019424_n01491361.JPEG,4.698692321777344,3.646394729614258,5.49650239944458,1.052297592163086
3,ILSVRC2012_val_00024895_n01491361.JPEG,ILSVRC2012_val_00026001_n01491361.JPEG,0.1761301159858703,1.3031327724456787,1.3031327724456787,1.1270026564598083
3,ILSVRC2012_val_00036420_n01491361.JPEG,ILSVRC2012_val_00025133_n01491361.JPEG,0.0910240188241005,1.3256734609603882,1.3256734609603882,1.2346494421362877
4,ILSVRC2012_val_00045133_n01494475.JPEG,ILSVRC2012_val_00045580_n01494475.JPEG,0.0549162700772285,0.0679591298103332,0.9608168005943298,0.013042859733104699
4,ILSVRC2012_val_00009978_n01494475.JPEG,ILSVRC2012_val_00041400_n01494475.JPEG,0.9518593549728394,0.9808475375175476,1.3962149620056152,0.028988182544708252
4,ILSVRC2012_val_00016347_n01494475.JPEG,ILSVRC2012_val_00022552_n01494475.JPEG,0.237174391746521,0.6444168090820312,0.6643170714378357,0.40724241733551025
4,ILSVRC2012_val_00047431_n01494475.JPEG,ILSVRC2012_val_00023986_n01494475.JPEG,0.8104845285415649,0.2674619853496551,3.646491527557373,0.5430225431919098
4,ILSVRC2012_val_00007405_n01494475.JPEG,ILSVRC2012_val_00035367_n01494475.JPEG,0.8413153290748596,0.1836825311183929,2.555741786956787,0.6576327979564667
5,ILSVRC2012_val_00021461_n01496331.JPEG,ILSVRC2012_val_00019988_n01496331.JPEG,1.0594968795776367,1.156722068786621,1.817228078842163,0.09722518920898438
5,ILSVRC2012_val_00034971_n01496331.JPEG,ILSVRC2012_val_00027633_n01496331.JPEG,0.0702229738235473,0.508453369140625,0.8879081010818481,0.4382303953170777
5,ILSVRC2012_val_00022387_n01496331.JPEG,ILSVRC2012_val_00033070_n01496331.JPEG,0.5662221908569336,0.0264244507998228,0.8416355848312378,0.5397977400571108
5,ILSVRC2012_val_00004969_n01496331.JPEG,ILSVRC2012_val_00022865_n01496331.JPEG,0.9486068487167358,0.0012468667700886,1.643647074699402,0.9473599819466473
5,ILSVRC2012_val_00041248_n01496331.JPEG,ILSVRC2012_val_00011782_n01496331.JPEG,2.36134934425354,0.0177447162568569,2.365044593811035,2.343604627996683
6,ILSVRC2012_val_00002480_n01498041.JPEG,ILSVRC2012_val_00015373_n01498041.JPEG,0.0911180451512336,0.1292469948530197,0.978308081626892,0.03812894970178608
6,ILSVRC2012_val_00003518_n01498041.JPEG,ILSVRC2012_val_00024204_n01498041.JPEG,0.5857994556427002,0.727270245552063,1.7695854902267456,0.1414707899093628
6,ILSVRC2012_val_00038935_n01498041.JPEG,ILSVRC2012_val_00038215_n01498041.JPEG,0.2017638385295868,0.0261404272168874,0.2677551805973053,0.1756234113126994
6,ILSVRC2012_val_00046497_n01498041.JPEG,ILSVRC2012_val_00043702_n01498041.JPEG,0.928100883960724,1.1177237033843994,1.5263456106185913,0.18962281942367543
6,ILSVRC2012_val_00049253_n01498041.JPEG,ILSVRC2012_val_00029169_n01498041.JPEG,0.048470813781023,0.5467846393585205,0.903856873512268,0.4983138255774975
7,ILSVRC2012_val_00046524_n01514668.JPEG,ILSVRC2012_val_00049181_n01514668.JPEG,0.0848614051938057,0.1632698327302932,0.286127895116806,0.0784084275364875
7,ILSVRC2012_val_00036368_n01514668.JPEG,ILSVRC2012_val_00043751_n01514668.JPEG,0.5701395869255066,0.423247367143631,1.1696721315383911,0.1468922197818756
7,ILSVRC2012_val_00014090_n01514668.JPEG,ILSVRC2012_val_00019101_n01514668.JPEG,0.033988282084465,0.4553586840629577,0.5210061073303223,0.42137040197849274
7,ILSVRC2012_val_00025431_n01514668.JPEG,ILSVRC2012_val_00027351_n01514668.JPEG,0.7398200035095215,0.0875234454870224,2.077317237854004,0.6522965580224991
7,ILSVRC2012_val_00009219_n01514668.JPEG,ILSVRC2012_val_00048952_n01514668.JPEG,0.7895025014877319,2.6419942378997803,2.748913526535034,1.8524917364120483
8,ILSVRC2012_val_00007530_n01514859.JPEG,ILSVRC2012_val_00011171_n01514859.JPEG,0.0677177459001541,0.070780448615551,0.1286009699106216,0.003062702715396895
8,ILSVRC2012_val_00049833_n01514859.JPEG,ILSVRC2012_val_00012528_n01514859.JPEG,0.1792196333408355,0.2126800268888473,1.0956296920776367,0.03346039354801181
8,ILSVRC2012_val_00041334_n01514859.JPEG,ILSVRC2012_val_00042135_n01514859.JPEG,0.5110628604888916,0.4501262903213501,0.9463233947753906,0.060936570167541504
8,ILSVRC2012_val_00014917_n01514859.JPEG,ILSVRC2012_val_00029619_n01514859.JPEG,0.1837314516305923,0.3303439915180206,1.3342429399490356,0.14661253988742828
8,ILSVRC2012_val_00028107_n01514859.JPEG,ILSVRC2012_val_00032169_n01514859.JPEG,0.7653946876525879,0.1352573931217193,2.9662981033325195,0.6301372945308685
9,ILSVRC2012_val_00042926_n01518878.JPEG,ILSVRC2012_val_00001398_n01518878.JPEG,0.0138328922912478,0.0098110372200608,0.0437442809343338,0.004021855071187
9,ILSVRC2012_val_00023778_n01518878.JPEG,ILSVRC2012_val_00023214_n01518878.JPEG,0.0320597328245639,0.0098803276196122,0.1762869358062744,0.022179405204951697
9,ILSVRC2012_val_00032849_n01518878.JPEG,ILSVRC2012_val_00019184_n01518878.JPEG,0.0116925630718469,0.0431088432669639,1.7068325281143188,0.031416280195117004
9,ILSVRC2012_val_00014328_n01518878.JPEG,ILSVRC2012_val_00036749_n01518878.JPEG,0.0075928661972284,0.0751565247774124,0.396968275308609,0.067563658580184
9,ILSVRC2012_val_00010763_n01518878.JPEG,ILSVRC2012_val_00044975_n01518878.JPEG,0.0111780129373073,0.2200435996055603,3.4892587661743164,0.208865586668253
10,ILSVRC2012_val_00002023_n01530575.JPEG,ILSVRC2012_val_00023441_n01530575.JPEG,0.0366856455802917,0.0285791587084531,0.0366856455802917,0.0081064868718386
10,ILSVRC2012_val_00002425_n01530575.JPEG,ILSVRC2012_val_00028902_n01530575.JPEG,0.0504352152347564,0.1013218089938163,4.396403789520264,0.050886593759059906
10,ILSVRC2012_val_00037116_n01530575.JPEG,ILSVRC2012_val_00035872_n01530575.JPEG,0.0703900903463363,0.0140051199123263,0.7198094725608826,0.056384970434009994
10,ILSVRC2012_val_00037748_n01530575.JPEG,ILSVRC2012_val_00002730_n01530575.JPEG,1.7260980606079102,0.0255200825631618,2.0749430656433105,1.7005779780447483
10,ILSVRC2012_val_00043788_n01530575.JPEG,ILSVRC2012_val_00004006_n01530575.JPEG,0.3348207473754883,2.2899575233459477,6.1297101974487305,1.9551367759704594
11,ILSVRC2012_val_00004243_n01531178.JPEG,ILSVRC2012_val_00019236_n01531178.JPEG,0.0410698056221008,0.0464846789836883,0.1035380065441131,0.005414873361587497
11,ILSVRC2012_val_00003816_n01531178.JPEG,ILSVRC2012_val_00037611_n01531178.JPEG,0.372967779636383,0.1422575414180755,0.5506354570388794,0.2307102382183075
11,ILSVRC2012_val_00010409_n01531178.JPEG,ILSVRC2012_val_00030071_n01531178.JPEG,0.3779627084732055,0.0285593476146459,0.3779627084732055,0.3494033608585596
11,ILSVRC2012_val_00013998_n01531178.JPEG,ILSVRC2012_val_00048710_n01531178.JPEG,0.4790773391723633,0.0426274612545967,0.9778116941452026,0.43644987791776657
11,ILSVRC2012_val_00025888_n01531178.JPEG,ILSVRC2012_val_00015431_n01531178.JPEG,0.6003936529159546,0.0615444369614124,0.708513081073761,0.5388492159545422
12,ILSVRC2012_val_00004747_n01532829.JPEG,ILSVRC2012_val_00047688_n01532829.JPEG,0.1626310348510742,0.1650563478469848,0.6911519169807434,0.0024253129959106168
12,ILSVRC2012_val_00031171_n01532829.JPEG,ILSVRC2012_val_00038091_n01532829.JPEG,0.0427302680909633,0.0359336994588375,0.1315004825592041,0.006796568632125799
12,ILSVRC2012_val_00006835_n01532829.JPEG,ILSVRC2012_val_00015830_n01532829.JPEG,0.1160299181938171,0.0143399676308035,0.2221981137990951,0.1016899505630136
12,ILSVRC2012_val_00038160_n01532829.JPEG,ILSVRC2012_val_00015964_n01532829.JPEG,0.2388166487216949,0.0051356772892177,0.589219331741333,0.23368097143247718
